País,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Ano,Continente
África do Sul,363,203,103,85,38,442,474,323,488,151,227,115,2006,África
Angola,1639,1113,1208,1501,940,966,1037,3910,1528,3052,2299,2413,2006,África
Cabo Verde,221,286,212,103,301,326,274,187,153,115,106,123,2006,África
Nigéria,22,7,35,0,18,8,8,44,91,0,0,0,2006,África
Outros,191,239,369,113,232,83,89,96,63,150,82,76,2006,África
Costa Rica,28,93,46,52,16,71,76,10,7,82,32,87,2006,América Central
Panamá,4,60,79,16,19,8,9,13,12,25,17,31,2006,América Central
Porto Rico,43,26,11,26,16,6,6,13,1,21,39,82,2006,América Central
Outros,192,308,156,233,80,256,274,159,89,145,196,275,2006,América Central
Canadá,1863,1629,1491,1087,1336,1353,1071,621,732,677,1032,936,2006,América do Norte
Estados Unidos,19117,18295,16196,14113,13443,14819,15683,6325,5042,6928,11229,16690,2006,América do Norte
México,1328,1528,1460,1239,1396,1281,1431,692,897,839,859,1022,2006,América do Norte
Argentina,14642,13262,12788,7044,3602,4954,5316,4523,5335,6203,5047,5532,2006,América do Sul
Bolívia,41,90,14,143,41,23,24,62,27,71,1,20,2006,América do Sul
Chile,2763,1439,948,749,394,910,976,638,2177,552,1329,3130,2006,América do Sul
Colômbia,558,735,686,362,109,119,128,51,52,91,127,145,2006,América do Sul
Equador,147,163,143,415,49,152,163,75,175,33,4,69,2006,América do Sul
Guiana Francesa,0,0,0,0,0,0,0,0,0,0,0,0,2006,América do Sul
Paraguai,152,86,75,34,66,33,35,57,68,171,83,100,2006,América do Sul
Peru,448,356,255,202,296,249,267,64,398,133,123,165,2006,América do Sul
República da Guiana,0,0,1,0,0,0,0,1,0,0,0,0,2006,América do Sul
Suriname,0,2,0,0,0,0,0,0,0,0,0,0,2006,América do Sul
Uruguai,386,494,753,522,382,381,409,495,582,200,155,276,2006,América do Sul
Venezuela,1063,481,712,183,278,305,327,117,100,109,68,128,2006,América do Sul
China,1380,325,355,543,730,757,812,526,37,566,424,378,2006,Ásia
Japão,491,550,668,298,296,309,217,509,404,291,211,181,2006,Ásia
República da Coréia,109,189,243,162,149,103,111,19,40,61,531,389,2006,Ásia
Outros,362,411,461,91,347,251,269,316,1487,197,239,330,2006,Ásia
Alemanha,6174,5842,5612,4191,3405,2836,2897,4001,3741,4129,4467,4225,2006,Europa
Áustria,704,174,504,142,119,122,130,230,226,149,162,177,2006,Europa
Bélgica,366,662,422,307,576,142,152,266,428,985,2129,1635,2006,Europa
Dinamarca,509,802,499,233,146,240,258,858,165,918,963,769,2006,Europa
Espanha,3459,3210,3313,2910,1862,1738,1436,2173,2835,2654,2723,2928,2006,Europa
Finlândia,605,486,153,131,866,322,345,331,46,259,399,329,2006,Europa
França,8402,7754,7973,8584,9413,6406,6619,5311,4745,4766,6364,5912,2006,Europa
Grécia,114,785,383,691,169,34,36,102,379,302,356,294,2006,Europa
Holanda,1456,717,843,556,539,343,368,575,382,959,1193,1123,2006,Europa
Hungria,96,260,107,26,79,113,121,268,0,59,51,43,2006,Europa
Inglaterra,7104,8877,4299,3726,2541,2284,2451,2579,2982,3078,2664,3573,2006,Europa
Irlanda,305,438,194,181,122,115,122,99,144,134,113,139,2006,Europa
Itália,6331,5539,4174,2818,1753,1478,1586,3238,2387,2994,4383,4273,2006,Europa
Noruega,605,809,481,207,202,331,355,444,133,882,733,633,2006,Europa
Polônia,167,171,425,72,93,84,90,223,53,202,164,137,2006,Europa
